epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4415.3,1.23047,0.95509,1.40841,0.60667,0.56645,0.59383,0.392,1.13264,1.32944,1.39874,0.001882,0.001882,0.001882
84,4460.81,1.22641,0.95609,1.40495,0.5898,0.56973,0.59014,0.39041,1.13412,1.33238,1.40019,0.001783,0.001783,0.001783
85,4506.44,1.23108,0.9553,1.40504,0.5991,0.57832,0.59735,0.39273,1.13217,1.32895,1.39979,0.001684,0.001684,0.001684
86,4552.02,1.23238,0.95533,1.40633,0.56217,0.61172,0.59815,0.39162,1.13125,1.31901,1.39832,0.001585,0.001585,0.001585
87,4597.66,1.22089,0.94651,1.40199,0.56061,0.61999,0.59062,0.39089,1.13158,1.33504,1.39939,0.001486,0.001486,0.001486
88,4643.2,1.2113,0.92911,1.39082,0.57114,0.60614,0.59991,0.39519,1.13322,1.32479,1.39812,0.001387,0.001387,0.001387
89,4688.91,1.20552,0.93551,1.38587,0.57746,0.60596,0.59882,0.39376,1.13033,1.32994,1.39726,0.001288,0.001288,0.001288
90,4734.54,1.20744,0.93466,1.39085,0.5812,0.60743,0.59266,0.39219,1.12814,1.33236,1.39436,0.001189,0.001189,0.001189
91,4780.62,1.11926,0.7506,1.33118,0.57954,0.60978,0.60376,0.3991,1.12352,1.32367,1.39153,0.00109,0.00109,0.00109
92,4825.94,1.10437,0.74055,1.32037,0.58492,0.60989,0.60943,0.40203,1.12134,1.31393,1.39172,0.000991,0.000991,0.000991
93,4871.37,1.08822,0.72552,1.31239,0.5905,0.59608,0.6112,0.40202,1.11878,1.30667,1.3897,0.000892,0.000892,0.000892
94,4916.81,1.074,0.71176,1.29959,0.58336,0.60529,0.61407,0.40607,1.11556,1.30038,1.38679,0.000793,0.000793,0.000793
95,4962.06,1.06828,0.70657,1.29487,0.59198,0.60922,0.61575,0.40854,1.1153,1.29916,1.3862,0.000694,0.000694,0.000694
96,5007.33,1.06208,0.70089,1.29374,0.598,0.60191,0.62118,0.41416,1.11474,1.29508,1.38635,0.000595,0.000595,0.000595
97,5052.64,1.05747,0.69881,1.28624,0.61148,0.60186,0.62679,0.41701,1.11338,1.29542,1.38496,0.000496,0.000496,0.000496
98,5098.01,1.05286,0.69803,1.28721,0.60649,0.61306,0.6269,0.41793,1.11278,1.29811,1.38614,0.000397,0.000397,0.000397
99,5143.5,1.05232,0.69558,1.28697,0.60378,0.61898,0.62761,0.41728,1.11281,1.29837,1.38584,0.000298,0.000298,0.000298
100,5188.75,1.04351,0.68743,1.28068,0.60638,0.61584,0.62848,0.41801,1.11333,1.29687,1.38722,0.000199,0.000199,0.000199
